50 2450
41 47 2175
41 48 23560
41 49 32269
41 50 7566
42 1 23564
42 2 127
42 3 3728
42 4 24723
42 5 27290
42 6 11845
42 7 22576
42 8 27928
42 9 25114
42 10 25814
42 11 144
42 12 9734
42 13 24164
42 14 17142
42 15 5227
42 16 27132
42 17 29996
42 18 13024
42 19 4904
42 20 16532
42 21 15922
42 22 8608
42 23 22703
42 24 27881
42 25 11194
42 26 17854
42 27 22908
42 28 2390
42 29 18236
42 30 14620
42 31 25841
42 32 4224
42 33 9820
42 34 27169
42 35 25073
42 36 30614
42 37 11292
42 38 10263
42 39 14762
42 40 15831
42 41 27217
42 43 20178
42 44 25778
42 45 5461
42 46 14164
42 47 21907
42 48 20054
42 49 2297
42 50 19449
43 1 17708
43 2 559
43 3 17352
43 4 32197
43 5 22884
43 6 22518
43 7 23908
43 8 26971
43 9 20892
43 10 4504
43 11 20438
43 12 8504
43 13 13491
43 14 8077
43 15 31370
43 16 13472
43 17 3112
43 18 32614
43 19 22171
43 20 8920
43 21 23166
43 22 26790
43 23 16466
43 24 3734
43 25 20709
43 26 15315
43 27 31209
43 28 17846
43 29 2070
43 30 26573
43 31 19348
43 32 28974
43 33 16511
43 34 14686
43 35 25794
43 36 324
43 37 28064
43 38 18705
43 39 25247
43 40 10751
43 41 4277
43 42 31560
43 44 8158
43 45 987
43 46 9877
43 47 18057
43 48 12727
43 49 9408
43 50 11482
44 1 13337
44 2 13867
44 3 17717
44 4 578
44 5 20172
44 6 22415
44 7 17874
44 8 9813
44 9 29723
44 10 10568
44 11 10483
44 12 7240
44 13 15223
44 14 16852
44 15 21684
44 16 29986
44 17 26589
44 18 13834
44 19 12569
44 20 17693
44 21 6059
44 22 22946
44 23 30348
44 24 2127
44 25 9906
44 26 26871
44 27 16525
44 28 14985
44 29 30348
44 30 12
44 31 14501
44 32 9856
44 33 4399
44 34 717
44 35 28059
44 36 12330
44 37 22979
44 38 23192
44 39 10987
44 40 7787
44 41 16305
44 42 11516
44 43 25716
44 45 10225
44 46 10237
44 47 28609
44 48 2673
44 49 18269
44 50 213
45 1 32296
45 2 22954
45 3 6819
45 4 13162
45 5 4979
45 6 31724
45 7 20915
45 8 26622
45 9 20136
45 10 3254
45 11 28761
45 12 20542
45 13 9107
45 14 22069
45 15 26465
45 16 27603
45 17 23818
45 18 23154
45 19 18688
45 20 31540
45 21 5237
45 22 31947
45 23 7279
45 24 5310
45 25 17037
45 26 24480
45 27 5337
45 28 4102
45 29 19811
45 30 19022
45 31 12151
45 32 15214
45 33 14244
45 34 11105
45 35 31994
45 36 4086
45 37 21788
45 38 2821
45 39 6697
45 40 22357
45 41 10362
45 42 446
45 43 7115
45 44 30793
45 46 20051
45 47 1881
45 48 29127
45 49 23851
45 50 6505
46 1 11811
46 2 1418
46 3 10438
46 4 17452
46 5 7768
46 6 6057
46 7 11625
46 8 23425
46 9 26078
46 10 8391
46 11 23099
46 12 18115
46 13 28723
46 14 14778
46 15 4815
46 16 4359
46 17 15013
46 18 20201
46 19 9464
46 20 22437
46 21 6337
46 22 8952
46 23 20703
46 24 500
46 25 7437
46 26 25768
46 27 5970
46 28 9812
46 29 31226
46 30 23544
46 31 16991
46 32 16498
46 33 28436
46 34 29329
46 35 23586
46 36 7367
46 37 5756
46 38 7008
46 39 2011
46 40 7522
46 41 9880
46 42 23941
46 43 28995
46 44 15336
46 45 31753
46 47 1644
46 48 17953
46 49 27865
46 50 32733
47 1 18233
47 2 28184
47 3 18452
47 4 15878
47 5 16746
47 6 29891
47 7 6814
47 8 16395
47 9 18103
47 10 23044
47 11 17823
47 12 32766
47 13 20541
47 14 15512
47 15 3757
47 16 1966
47 17 28892
47 18 4847
47 19 17741
47 20 4125
47 21 18142
47 22 26171
47 23 25015
47 24 13621
47 25 12505
47 26 17352
47 27 218
47 28 4534
47 29 18902
47 30 22667
47 31 24992
47 32 22387
47 33 28850
47 34 27389
47 35 18291
47 36 14270
47 37 24261
47 38 10026
47 39 26112
47 40 12321
47 41 4546
47 42 28932
47 43 14907
47 44 3919
47 45 3294
47 46 12542
47 48 29859
47 49 18009
47 50 13621
48 1 20182
48 2 22727
48 3 23077
48 4 19817
48 5 20146
48 6 13833
48 7 2333
48 8 21644
48 9 17519
48 10 23970
48 11 31012
48 12 19520
48 13 4406
48 14 14822
48 15 462
48 16 10780
48 17 8016
48 18 27337
48 19 26320
48 20 30802
48 21 4155
48 22 2979
48 23 5813
48 24 27023
48 25 4349
48 26 1584
48 27 16851
48 28 25635
48 29 18616
48 30 5851
48 31 23934
48 32 18530
48 33 5503
48 34 26172
48 35 26491
48 36 30282
48 37 2920
48 38 23519
48 39 32183
48 40 22118
48 41 27106
48 42 3655
48 43 7737
48 44 27121
48 45 31561
48 46 29746
48 47 9046
48 49 9791
48 50 4792
49 1 15135
49 2 20516
49 3 8025
49 4 7199
49 5 26382
49 6 305
49 7 17896
49 8 29333
49 9 8071
49 10 21876
49 11 15444
49 12 28911
49 13 19933
49 14 25475
49 15 1836
49 16 28817
49 17 28852
49 18 20231
49 19 7369
49 20 10884
49 21 18625
49 22 21101
49 23 6190
49 24 11977
49 25 17105
49 26 4319
49 27 4915
49 28 26093
49 29 17165
49 30 17523
49 31 27619
49 32 20702
49 33 13692
49 34 7330
49 35 31010
49 36 31485
49 37 1993
49 38 24827
49 39 29331
49 40 21108
49 41 28743
49 42 11288
49 43 4024
49 44 23242
49 45 9778
49 46 21202
49 47 8795
49 48 28085
49 50 28472
50 1 19377
50 2 12333
50 3 32303
50 4 9783
50 5 10918
50 6 20398
50 7 4555
50 8 8009
50 9 1277
50 10 19532
50 11 25674
50 12 3326
50 13 20877
50 14 21967
50 15 26985
50 16 19176
50 17 6450
50 18 16116
50 19 8446
50 20 12637
50 21 2941
50 22 3928
50 23 28995
50 24 22136
50 25 19369
50 26 27800
50 27 31602
50 28 24673
50 29 2513
50 30 7863
50 31 7826
50 32 19662
50 33 15457
50 34 13248
50 35 7312
50 36 20938
50 37 3531
50 38 1708
50 39 5521
50 40 15286
50 41 21115
50 42 11653
50 43 19847
50 44 27789
50 45 6924
50 46 4812
50 47 28674
50 48 24684
50 49 14012
